"Feature","Tool","Purpose","Build now or later"
"Identity protection","Prompt rules + backend guardrails","Make sure Fenna stays Fenna, Maarten stays Maarten, and name confusion does not happen","Now spacy"
"Basic memory extraction","spaCy NER + simple rules","Pull out names, family members, hobbies, places, important facts","Now spacy+1"
"Memory storage","Database + embeddings","Save useful memories in structured form and retrieve them Now","Now spacy+1"
"Memory retrieval","Vector search","Find the most relevant memories for the current message","Now spacy+1"
"Response style control","Prompt config + rules JSON","Keep replies short, warm, on-topic, and not question-heavy","Now spacy"
"Safety filter","Prompt + rule-based checks","Block medical advice, dependency language, unsafe claims","Now spacy"
"Emotion / sentiment detection","spaCy sentiment component or lightweight classifier","Detect sadness, stress, confusion, calmness, warmth","Second spacy+1"
"Topic extraction","spaCy + keyword extraction","Detect recurring subjects like family, loneliness, gardening, faith, music","Second spacy+1"
"Intent classification","spaCy textcat or small classifier","Decide if message is chat, memory, safety, practical help, or Now research","Third width+1"
"Conversation routing","Backend logic","Choose normal reply, memory reply, safety reply, or tool reply","Third spacy+1"
"Research tool","Tool calling + web search","Let HartMaatje fetch current information only when needed","Now spacy"
"Summarization of long chats","Lightweight summarizer","Compress older chats into useful resident summaries","Now explosion"
"Entity linking / coreference","spaCy extensions like Coreferee","Better understand “she,” “he,” “my daughter,” “that place”","Now spacy"
"Readability check","spaCy readability extensions","Keep language simple for older users","Now spacy"
"Analytics / quality scoring","Custom logging","Measure if answers stay warm, short, safe, and relevant","Now spacy"
